Date,Open,High,Low,Close,Volume,SMA 10,EMA 10,Upper band,Lower band,SMA 50,SMA 100,SMA 20,SMA 200,EMA 20,EMA 50,EMA 100,EMA 200,MACD,MACD Signal Line,MACD Histogram,Stochastic %K,Stochastic %D,Williams %R,CCI,Aroon Up,Aroon Down,SMA 5,EMA 5,SMA 5 Crossover Signal,Bollinger Signal,Stochastic,Stochastic Signal,Williams %R Signal,CCI Signal,Aroon Signal,MACD Signal,RSI,RSI Signal,White Marubozu,Black Marubozu,Bullish Engulfing,Bearish Engulfing,Bullish Harami,Bearish Harami,Tweezer Bottom,Tweezer Top,Piercing Line,Dark Cloud Cover,Morning Star,Evening Star,Three White Soldiers,Three Black Crows,Three Inside Up,Three Inside Down,Three Outside Up,Three Outside Down,Upside Tasuki Gap,Downside Tasuki Gap,Crossover SMA 5/20,Crossover SMA 20/100,Crossover SMA 10/50,Crossover SMA 50/200,Crossover SMA 5/20 Signal,Crossover SMA 10/50 Signal,Crossover SMA 20/100 Signal,Crossover SMA 50/200 Signal
1997-07-10,7.74767,7.74767,7.74767,7.74767,7468378.59,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-11,7.91272,7.91272,7.91272,7.91272,4723911.66,,,,,,,,,,,,,0.0042012727272719,0.0023632159090904,0.0018380568181814,,,,,,,,,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-14,7.12369,7.12369,7.12369,7.12369,1207887.18,,,,,,,,,,,,,-0.022490831556504,-0.0080677573795786,-0.0144230741769253,,,,,,,,,0,0,0,0,0,0,0,-1,16.264695381391988,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-15,6.43262,6.43262,6.43262,6.43262,2524244.69,,,,,,,,,,,,,-0.0623613751846239,-0.0270966263122123,-0.0352647488724115,,,,,,,,,0,0,0,0,0,0,0,0,9.08739411799374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-16,7.0567,7.0567,7.0567,7.0567,1730779.04,,,,,,,,,,,,,-0.0540473323769612,-0.0354685586303231,-0.0185787737466381,,,,,,,7.25468,7.148973086419755,0,0,0,0,0,0,0,0,36.38733648810836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-17,7.19058,7.25291,7.19058,7.25291,2332878.93,,,,,,,,,,,,,-0.0383904568152928,-0.0363024808227496,-0.0020879759925432,,,,,,,7.155728000000001,7.183618724279837,-1,0,0,0,0,0,0,0,42.25809587776103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-18,7.08796,7.08796,6.86058,6.89175,811115.73,,,,,,,,,,,,,-0.0464562029829238,-0.0390281810927004,-0.0074280218902234,,,,,,,6.9515340000000005,7.086329149519892,1,0,0,0,0,0,0,0,35.72287468738111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-21,7.08796,7.08796,7.02553,7.08796,1109876.5,,,,,,,,,,,,,-0.040284371362917,-0.0393504992093933,-0.0009338721535237,,,,,,,6.944388000000001,7.086872766346595,-1,0,0,0,0,0,0,0,41.05616170771688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-22,7.08796,7.19058,7.08796,7.12369,719622.89,,,,,,,,,,,,,-0.0333475454455465,-0.0378614059582071,0.0045138605126606,,,,,,,7.082602,7.099145177564397,0,0,0,0,0,0,0,1,41.99992616907934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-23,7.15476,7.15476,6.95864,7.02553,617080.21,7.165524,7.17809805008488,,,,,,,,,,,-0.0337519669811952,-0.0368676935650094,0.0031157265838142,40.05877981217484,,,,,,7.076368,7.074606785042932,1,0,0,0,0,0,0,0,40.10033799690024,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
